time_h,conc_ug_mL,sd_ng_mL,study,source
0.0,0.11958,189.83,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
0.5,4.32885,2499.423,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
1.0,5.17788,1392.083,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
1.5,4.78326,822.593,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
2.0,4.52018,854.234,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
2.5,4.28102,1012.423,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
3.0,3.92227,727.679,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
4.0,3.56353,917.512,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
5.0,3.0015,949.15,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
6.0,2.49925,822.596,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
8.0,1.93722,885.872,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
24.0,0.26308,253.106,"Culm-Merdek et al. 2005, caffeine 250 mg single oral dose",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
