time_h,conc_ug_mL,sd_ng_mL,study,source
0.0,2.76061,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
1.0,3.03858,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
1.5,3.41662,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
2.0,4.27385,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
2.5,2.85032,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
3.5,2.56211,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
5.5,2.04821,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
7.5,1.35151,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
11.5,0.81021,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
13.5,0.60113,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
23.5,0.24034,0.0,"Jeppesen et al. 1996, caffeine 200 mg single oral dose (EM)",OSP Fluvoxamine-Caffeine-DDI (Britz 2019)
