compartment,pct_body_weight,pct_cardiac_output,status,source,notes
adipose,21.42,5.2,verified,Brown 1997 Table 7 (vol) / Table 23 (flow),ICRP Reference Man
bone,14.29,4.2,verified,Brown 1997 Table 7 / Table 23,bone + marrow
brain,2.00,11.4,verified,Brown 1997 Table 7 / Table 23,
heart,0.47,4.0,verified,Brown 1997 Table 7 / Table 23,
kidney,0.44,17.5,verified,Brown 1997 Table 7 / Table 23,
liver,2.57,4.6,verified,Brown 1997 Table 7 / Table 23,"flow is HEPATIC ARTERY only (4.6%); liver also receives portal inflow from gut, so total liver perfusion = 4.6 + 18.1 = 22.7% CO (handled in the model)"
lung,0.76,100,verified,Brown 1997 Table 7 / Table 23,receives full cardiac output; % CO set to 100 (not summed in the arterial balance)
muscle,40.00,19.1,verified,Brown 1997 Table 7 / Table 23,
skin,3.71,5.8,verified,Brown 1997 Table 7 / Table 23,
thyroid,0.03,1.6,verified,Brown 1997 Table 7 / Table 23,
gut,2.13,18.1,verified,Brown 1997 Table 7 / Table 23,"portal-draining splanchnic block: GI 1.71 + spleen 0.26 + pancreas 0.14 + adrenals 0.02 = 2.13% BW; flow is the portal-vein fraction 18.1% CO"
rest_of_body,3.20,8.5,verified,Brown 1997 (closure),"balances volume to 70 kg and flow to 100% CO after the tabulated tissues"
arterial_blood,1.80,,unverified,ICRP 89 (NOT Brown Table 7),"blood not in Brown Table 7; ~1/3 of ~5.4 L total blood. Verify against ICRP 89 or the caffeine paper"
venous_blood,3.90,,unverified,ICRP 89 (NOT Brown Table 7),"~2/3 of total blood. Verify against ICRP 89 or the caffeine paper"
