parameter,value,unit,status,source,notes
molecular_weight,194.2,g/mol,verified,OSP caffeine template model (PK-Sim),stored 1.942e-7 kg/umol -> 194.2 g/mol; matches caffeine MW 194.19
lipophilicity_logMA,-0.07,log units,verified,"Hansch, Leo & Hoekman 1995 (via OSP model)",membrane-affinity / logP surrogate used by PK-Sim
fraction_unbound_plasma,0.7,fraction,verified,Lelo et al. 1986 (via OSP model),plasma fu
pKa_1,0.8,-,verified,OSP caffeine template model,weak base; single pKa used
compound_type,base,-,verified,OSP caffeine template model,ionization treated as base
solubility,21.6,mg/mL,verified,OSP caffeine template model,stored 0.0216 kg/L at reference pH 7 -> 21.6 mg/mL; base unit kg/L confirmed from the observed-data serialization (see tools/extract_observed_pksim5.py)
solubility_reference_pH,7,-,verified,OSP caffeine template model,pH at which solubility applies
CYP1A2_Km,14.7,umol/L,confirm-units,OSP caffeine template model,Michaelis constant for CYP1A2-MM (liver microsomes). Confirm base vs display unit via ospsuite.
CYP1A2_Vmax_invitro,109,pmol/min/mg microsomal protein,confirm-units,OSP caffeine template model,"in vitro Vmax, liver microsomes. Confirm unit via ospsuite."
microsomal_CYP_content,108,pmol/mg microsomal protein,confirm-units,OSP caffeine template model,CYP protein content used to scale Vmax
intestinal_permeability,1.78e-6,cm/s,confirm-alternative,OSP caffeine template model,'Calculated' alternative; model also holds a 'Caffeine_human_PO' value. Confirm which is active via ospsuite.
renal_clearance,NA,NA,todo,OSP caffeine template model,GFR/kidney 'specific clearance calculated from plasma clearance' process present; value not yet extracted
partition_method,Schmitt,-,verified,OSP caffeine template model,Interstitial partition coefficient method = Schmitt (tissue:plasma partitioning)
cellular_permeability_method,PK-Sim Standard,-,verified,OSP caffeine template model,cellular permeability calculation method
