model_param,value,source
V_ad,14.994000000000002,physiology (Brown 1997 Table 7)
V_bo,10.003,physiology (Brown 1997 Table 7)
V_br,1.4000000000000001,physiology (Brown 1997 Table 7)
V_he,0.32899999999999996,physiology (Brown 1997 Table 7)
V_ki,0.308,physiology (Brown 1997 Table 7)
V_li,1.7989999999999997,physiology (Brown 1997 Table 7)
V_lu,0.532,physiology (Brown 1997 Table 7)
V_mu,28,physiology (Brown 1997 Table 7)
V_sk,2.597,physiology (Brown 1997 Table 7)
V_th,0.020999999999999998,physiology (Brown 1997 Table 7)
V_gu,1.4909999999999999,physiology (Brown 1997 Table 7)
V_re,2.24,physiology (Brown 1997 Table 7)
V_ar,1.2600000000000002,physiology (Brown 1997 Table 7)
V_ve,2.73,physiology (Brown 1997 Table 7)
Q_ad,16.224,physiology (Brown 1997 Table 23)
Q_bo,13.104000000000001,physiology (Brown 1997 Table 23)
Q_br,35.568,physiology (Brown 1997 Table 23)
Q_he,12.48,physiology (Brown 1997 Table 23)
Q_ki,54.599999999999994,physiology (Brown 1997 Table 23)
Q_ha,14.352,physiology (Brown 1997 Table 23)
Q_mu,59.592,physiology (Brown 1997 Table 23)
Q_sk,18.096,physiology (Brown 1997 Table 23)
Q_th,4.992,physiology (Brown 1997 Table 23)
Q_gu,56.47200000000001,physiology (Brown 1997 Table 23)
Q_re,26.520000000000003,physiology (Brown 1997 Table 23)
Q_co,312,physiology (Brown 1997 Table 23)
BP,1,ASSUMED ~1.0 - confirm from OSP
fup,0.7,caffeine_params.csv (Lelo 1986) - verified
ka,1.5,PROVISIONAL - fit/confirm in simulation step
Fbio,1,assembled in 03_build_model.R
Vmax,91.39409327999998,CYP1A2 in vitro scaled x MPPGL - PROVISIONAL (confirm-units)
Km,2.8547399999999996,caffeine_params.csv CYP1A2_Km - confirm-units
CLr,0,0 until renal_clearance sourced (todo)
Kp_ad,0.6017,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_bo,0.2042,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_br,0.6474,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_he,0.5833,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_ki,0.5745,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_li,0.54990000000000006,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_lu,0.5698,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_mu,0.5671,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_sk,0.434,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_th,0.5934,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_gu,0.619,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
Kp_re,0.5681,PK-Sim Schmitt via ospsuite (data/partition_coefficients.csv)
