parameter,metric,S,base,hi,lo
ka,Cmax,0.22621475835212163,5.121295959510664,5.279358613850776,4.931804795471655
ka,AUC,0.06171885909381332,51.09459451902828,51.512581716129695,50.566531692257065
ka,thalf,-0.004239870866227664,3.695530105865723,3.6936531079445656,3.6983536790739038
Vmax,Cmax,-0.2191485683311288,5.121295959510664,4.958985745961116,5.295683149219143
Vmax,AUC,-1.067389161771209,51.09459451902828,44.13586628889214,60.49721121330376
Vmax,thalf,-1.0677090701109602,3.695530105865723,3.219345341523876,4.403070645394161
Km,Cmax,0.09452688321894703,5.121295959510664,5.189918063657787,5.044688020129488
Km,AUC,0.594699000980558,51.09459451902828,55.63240218729828,46.51663089250644
Km,thalf,0.9233856741839507,3.695530105865723,4.211644289335508,3.187924421853936
fup,Cmax,-0.09509066093071586,5.121295959510664,5.055173770518889,5.201269995802391
fup,AUC,-0.6075576993256928,51.09459451902828,47.11610888581312,56.42898317400111
fup,thalf,-0.9469674672116903,3.695530105865723,3.2535635603112065,4.3034275956180705
BP,Cmax,-0.10677286940001168,5.121295959510664,5.045199415448977,5.209244054842069
BP,AUC,-0.059385694773950615,51.09459451902828,50.675320379887495,51.58560677829923
BP,thalf,-0.04184753072566566,3.695530105865723,3.684434859007783,3.7308295019036346
Kp_ALL,Cmax,-0.8149295074793442,5.121295959510664,4.577805394171101,5.829853952353095
Kp_ALL,AUC,-0.3529330062959248,51.09459451902828,48.74071488005102,54.1506055347726
Kp_ALL,thalf,0.9620535452488094,3.695530105865723,4.231621543653582,3.1650321916770343
Q_ALL,Cmax,-0.006404883577060971,5.121295959510664,5.120545855991434,5.130386247306736
Q_ALL,AUC,-0.0159281965069075,51.09459451902828,51.001898278047165,51.24605170062912
Q_ALL,thalf,-0.14759000473322567,3.695530105865723,3.6261155185996063,3.7897425103445563
